City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Arman,RU,2021-05-25 22:37:20,59.7,150.1667,49.24,53,20,11.43
249,Iracoubo,GF,2021-05-25 22:37:21,5.4802,-53.2011,78.46,91,100,5.95
250,Katsuura,JP,2021-05-25 22:37:21,35.1333,140.3,68.23,72,90,14.61
251,Lagoa,PT,2021-05-25 22:37:22,39.05,-27.9833,63.41,88,100,19.73
252,Ahipara,NZ,2021-05-25 22:37:22,-35.1667,173.1667,59.41,63,35,10.38
253,Saint Anthony,US,2021-05-25 22:37:23,45.0205,-93.218,86.02,28,40,4.0
254,Chokurdakh,RU,2021-05-25 22:37:23,70.6333,147.9167,36.46,75,60,9.28
255,Kokopo,PG,2021-05-25 22:37:24,-4.352,152.2633,76.93,89,100,5.95
256,Nanortalik,GL,2021-05-25 22:37:24,60.1432,-45.2371,34.43,72,49,10.63
257,Port Blair,IN,2021-05-25 22:37:25,11.6667,92.75,80.64,89,90,6.91
258,Gejiu,CN,2021-05-25 22:37:25,23.306,103.1635,57.76,96,73,3.85
259,Narsaq,GL,2021-05-25 22:37:26,60.9167,-46.05,41.22,69,56,4.54
260,Thinadhoo,MV,2021-05-25 22:37:26,0.5333,72.9333,84.06,66,100,20.85
261,Bani Walid,LY,2021-05-25 22:37:27,31.7566,13.9942,64.11,77,4,9.95
262,Kajaani,FI,2021-05-25 22:37:27,64.2273,27.7285,44.65,87,20,3.44
263,Inhambane,MZ,2021-05-25 22:37:28,-23.865,35.3833,64.69,75,1,1.19
264,Kargopol,RU,2021-05-25 22:37:28,61.5071,38.9456,38.34,92,100,4.83
265,Pangoa,PE,2021-05-25 22:37:29,-12.1167,-73.0,67.33,93,100,2.42
266,Ingham,US,2021-05-25 22:37:30,42.6,-84.3833,84.15,36,75,9.22
267,Tricase,IT,2021-05-25 22:37:30,39.9304,18.3553,67.32,78,20,9.1
268,Kunming,CN,2021-05-25 22:36:44,25.0389,102.7183,62.53,88,40,11.18
269,Gerash,IR,2021-05-25 22:37:31,27.6652,54.1371,80.22,20,1,1.52
270,Clemson,US,2021-05-25 22:37:31,34.6834,-82.8374,90.36,52,75,3.44
271,Pacific Grove,US,2021-05-25 22:36:00,36.6177,-121.9166,80.15,75,40,8.99
